channel_id,baseline,rms
0,14954.9,2.86396
1,14980.6,1.84095
2,14980.5,2.49609
3,15085.6,2.45082
4,15033.4,1.5066
5,14897,0.603049
6,14987.3,2.19241
7,14902.5,3415.65
8,14973.4,0.904287
9,14965.8,4.9822
10,14905,0.932647
11,14851.2,2.58308
12,14791.8,2.70896
13,14993.8,1.07367
14,14928.8,2.13713
15,15230.3,3.40389
16,14980.3,157.922
17,14933,4.67075
18,15115.6,1.78903
19,14793.8,2.39519
20,14975,2.44839
21,14938.5,1.29775
22,15083.4,3.13992
23,14826,2.26892
24,14935.6,0.9179
25,15001.3,4.46548
26,14994.9,2.5126
27,14948.6,171.09
28,14758.3,5.24102
29,14894.1,1.21833
30,15159.8,3.59424
31,14919.7,1.0369
32,14867.3,1.91194
33,15079.6,1.90886
34,14905.3,3.88327
35,14990.6,1.09837
36,15048.5,2.44936
37,15080.3,3.13403
38,15074.1,4.47673
39,15105.2,5.52833
40,15031.7,1.02253
41,14995.8,0.557906
42,14956.7,0.939641
43,15083.9,216.265
44,14885.9,2.93667
45,15052.7,1.78115
46,15040.1,3.74562
47,15015.3,4.2297
48,14972.1,2.18543
49,14960.7,1.59729
50,14980.4,5.05502
51,14974.7,1.30352
52,14954.4,0.67242
53,15230.4,1.52374
54,15056.2,2.24774
55,15029.4,1.65115
56,15130.7,3.68595
57,15051.8,3.45516
58,15048.5,1.54402
59,15041.4,1.01469
60,15133.8,3.05832
61,14793,2.04809
62,15048.4,1.52838
63,14975.5,1.10316
64,14874.7,1.47749
65,15059.7,1.74318
66,15072.7,4.56801
67,14939.9,0.649674
68,15163.9,1.20213
69,14839.5,0.556421
70,14938.5,2.08532
71,14853.7,0.64359
72,14855.7,2.85677
73,15041.7,190.526
74,14832.2,3.24375
75,14879.9,0.857415
76,15024.2,1.62899
77,14771.3,3.47997
78,14844,0.635683
79,14899.9,1.04633
80,14927.6,6.0939
81,14995.8,2.47843
82,14966.1,4.63609
83,15062.9,4.53169
84,14893.8,2.39666
85,14943.3,149.816
86,15032.7,403.443
87,14945.7,13.1766
88,15055.1,323.689
89,15117.1,400.139
90,15009.6,1.43611
91,14937.7,0.817886
92,14973.5,1.05217
93,14945.9,154129
94,14940.7,154017
95,15069.4,2.79062
96,14998,2.89157
97,14877,1.1865
98,15028.9,6.70042
99,14942,0.599143
100,14836.8,151880
101,15238.7,2.33821
102,14984,3.37684
103,14845.6,0.510503
104,15080.1,2.16874
105,14919.4,1.00456
106,15056.8,2.80122
107,14839,1.61494
108,14917.3,6.88137
109,14853.4,2.47676
110,14969.4,0.71322
111,14851.8,0.789171
112,15108.7,2.82737
113,14938.7,1.68866
114,15095.5,2.70157
115,14967.3,3.31769
116,14912.4,2.78534
117,15105.6,157738
118,14895.7,4.55544
119,15101.7,227.597
120,15004.9,155474
121,15090.7,4.17452
122,15107.1,1.3072
123,14983.5,4.63647
124,15046.4,1.62046
125,15028.9,3.59727
126,15144.8,2.54696
127,15102.6,0.555375
128,15061.7,1.31418
129,15103.1,1.20651
130,14890.8,2.02627
131,14973.6,0.47664
